Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
A1,amp0,SYBR,14.6,24.25,8.67,6.05,4.5,-2.32,-3.31,1.52,2.54,6.08,19.22,46.84,81.03,142.74,236.92,364.42,536.51,750.86,955.16,1135.9,1272.91,1360.96,1407.15,1431.89,1447.05,1464.07,1489.02,1530.41,1595.35,1683.67,1796.4,1919.54,2035.47,2123.56,2182.23,2215.9,2234.68,2242.48,2257.84,2282.87,2318.92
A2,amp0,SYBR,14.95,10.73,4.17,3.44,1.8,1.93,-2.32,-1.03,5.99,15.55,26.01,46.64,74.54,132.07,210.4,327.88,475.46,672.23,875.94,1064.61,1221.17,1329.25,1394.13,1431.17,1452.9,1475.2,1503.18,1547.77,1611.07,1697.83,1807.86,1927.07,2040.22,2128.36,2189.43,2225.51,2242.07,2251.17,2255.51,2278.25,2315.04
A11,amp0,SYBR,14.12,11.0,4.15,0.24,4.04,1.26,0.85,-3.36,3.23,2.32,15.18,35.26,70.19,135.74,253.2,436.15,702.48,1040.52,1343.48,1591.98,1763.36,1869.71,1928.42,1962.91,1983.81,1998.41,2005.44,2008.91,2009.63,2011.8,2013.44,2018.42,2024.9,2035.61,2051.0,2064.07,2079.53,2092.88,2109.57,2120.79,2128.71
A12,amp0,SYBR,14.22,13.84,9.5,2.77,6.15,1.94,-2.12,-2.15,-0.74,-1.76,9.57,24.93,58.48,120.45,230.24,414.01,656.17,975.92,1249.06,1471.22,1622.04,1712.42,1763.0,1790.52,1805.77,1814.33,1817.1,1821.53,1822.38,1824.3,1822.89,1822.26,1823.83,1829.19,1840.39,1853.03,1867.18,1876.85,1886.27,1892.3,1899.87
B1,amp0,SYBR,17.83,2.69,12.15,2.63,3.39,0.55,1.08,-0.65,1.01,-5.6,-0.46,-1.56,-0.31,8.46,19.64,43.01,83.75,159.61,291.89,503.66,808.72,1182.93,1524.78,1796.31,1986.3,2097.31,2163.53,2201.81,2229.78,2248.04,2256.2,2265.03,2268.89,2278.64,2284.07,2295.96,2309.78,2331.44,2358.25,2387.7,2417.37
B2,amp0,SYBR,17.82,8.66,5.79,3.09,-0.7,2.97,1.99,1.39,0.0,-0.06,-4.73,-1.67,-3.86,11.37,20.25,46.88,90.77,162.02,296.84,505.65,818.03,1217.2,1590.31,1900.59,2117.88,2252.11,2331.87,2382.16,2414.37,2438.45,2450.08,2460.41,2463.51,2472.48,2476.13,2481.51,2492.76,2514.64,2542.68,2566.19,2585.16
B3,amp0,SYBR,17.9,7.74,3.68,6.2,1.35,1.08,1.55,-0.16,-2.49,-5.01,-1.59,2.53,0.17,8.5,25.75,44.04,86.71,156.74,284.83,487.2,797.22,1203.21,1587.79,1917.51,2151.02,2299.98,2386.81,2438.15,2470.05,2488.72,2505.43,2514.98,2523.12,2527.31,2532.06,2537.38,2546.71,2562.51,2591.95,2617.23,2636.41
B4,amp0,SYBR,18.01,7.4,5.0,2.93,4.82,0.3,4.07,-0.87,-2.04,-5.55,-0.63,-0.98,-0.63,10.87,24.41,42.92,80.61,151.37,268.27,465.84,761.92,1140.25,1515.29,1832.89,2060.54,2205.44,2290.36,2342.58,2373.61,2394.83,2408.65,2421.05,2427.67,2433.59,2436.32,2442.78,2452.98,2474.03,2499.67,2525.11,2544.86
B5,amp0,SYBR,18.0,6.59,4.54,2.76,3.14,1.0,1.53,-0.45,-0.8,0.95,-5.51,1.34,0.45,7.23,18.01,41.87,76.85,149.7,270.19,468.01,757.04,1138.95,1502.28,1810.82,2031.34,2168.37,2250.42,2299.18,2328.51,2346.66,2358.44,2371.12,2378.28,2379.32,2377.61,2379.91,2392.37,2415.03,2436.58,2459.35,2478.94
B6,amp0,SYBR,17.76,9.15,7.09,3.52,4.16,-1.62,1.29,1.62,-0.83,-3.45,0.19,1.37,2.83,4.24,25.04,42.97,87.75,166.61,301.16,520.28,848.72,1271.45,1668.3,2000.11,2238.27,2386.18,2475.13,2526.03,2560.54,2580.09,2593.88,2603.05,2613.54,2620.41,2628.86,2638.16,2655.13,2678.08,2703.09,2738.08,2780.79
B7,amp0,SYBR,19.94,17.6,11.63,6.04,6.96,3.5,-4.35,3.45,-1.07,-4.43,-6.39,-1.4,-8.28,-3.66,-2.63,6.47,15.07,40.14,78.62,153.85,272.28,479.33,801.83,1263.36,1722.39,2137.5,2452.64,2658.38,2783.61,2855.59,2905.31,2937.45,2960.9,2972.42,2982.79,2991.51,3001.05,3010.27,3014.36,3023.01,3034.42
B8,amp0,SYBR,20.19,8.19,6.06,3.24,6.49,3.78,1.03,-0.16,-2.28,-4.61,-2.12,-3.75,-1.17,-2.85,-2.94,4.17,12.48,33.95,68.64,129.47,236.52,413.44,698.09,1089.72,1547.29,1953.2,2271.17,2483.59,2615.5,2693.17,2745.0,2775.89,2797.83,2812.06,2826.58,2836.14,2843.56,2849.92,2856.62,2863.18,2867.7
